"Code SER"	Nom SER	Code GRECO	Nom GRECO
"A11"	"Ouest-Bretagne et Nord-Cotentin"	"A"	"Grand Ouest cristallin et océanique"
"A12"	"Pays de Saint-Malo"	"A"	"Grand Ouest cristallin et océanique"
"A13"	"Bocage normand et Pays de Fougères"	"A"	"Grand Ouest cristallin et océanique"
"A21"	"Bretagne méridionale"	"A"	"Grand Ouest cristallin et océanique"
"A22"	"Bocage armoricain"	"A"	"Grand Ouest cristallin et océanique"
"A30"	"Bocage vendéen"	"A"	"Grand Ouest cristallin et océanique"
"B10"	"Câtes et plateaux de la Manche"	"B"	"Centre Nord semi-océanique"
"B21"	"Flandres"	"B"	"Centre Nord semi-océanique"
"B22"	"Plaine picarde"	"B"	"Centre Nord semi-océanique"
"B23"	"Mosan, Thiérache et Hainaut"	"B"	"Centre Nord semi-océanique"
"B31"	"Campagne de Caen et Pays d'Auge"	"B"	"Centre Nord semi-océanique"
"B32"	"Plateaux de l'Eure"	"B"	"Centre Nord semi-océanique"
"B33"	"Perche"	"B"	"Centre Nord semi-océanique"
"B41"	"Bassin parisien tertiaire"	"B"	"Centre Nord semi-océanique"
"B42"	"Brie et Tardenois"	"B"	"Centre Nord semi-océanique"
"B43"	"Champagne crayeuse"	"B"	"Centre Nord semi-océanique"
"B44"	"Beauce"	"B"	"Centre Nord semi-océanique"
"B51"	"Champagne humide"	"B"	"Centre Nord semi-océanique"
"B52"	"Pays d'Othe et Gatinais oriental"	"B"	"Centre Nord semi-océanique"
"B53"	"Pays-Fort, Nivernais et plaines prémorvandelles"	"B"	"Centre Nord semi-océanique"
"B61"	"Baugeois-Maine"	"B"	"Centre Nord semi-océanique"
"B62"	"Champeigne-Gâtine tourangelle"	"B"	"Centre Nord semi-océanique"
"B70"	"Sologne-Orléanais"	"B"	"Centre Nord semi-océanique"
"B81"	"Loudunais et Saumurois"	"B"	"Centre Nord semi-océanique"
"B82"	"Brenne et Brandes"	"B"	"Centre Nord semi-océanique"
"B91"	"Boischaut et Champagne berrichonne"	"B"	"Centre Nord semi-océanique"
"B92"	"Bourbonnais et Charolais"	"B"	"Centre Nord semi-océanique"
"C11"	"Ardenne primaire"	"C"	"Grand Est semi-continental"
"C12"	"Argonne"	"C"	"Grand Est semi-continental"
"C20"	"Plateaux calcaires du Nord-Est"	"C"	"Grand Est semi-continental"
"C30"	"Plaines et dépressions argileuses du Nord-Est"	"C"	"Grand Est semi-continental"
"C41"	"Plaine d'Alsace"	"C"	"Grand Est semi-continental"
"C42"	"Sundgau alsacien et belfortain"	"C"	"Grand Est semi-continental"
"C51"	"Saâne, Bresse et Dombes"	"C"	"Grand Est semi-continental"
"C52"	"Plaines et piémonts alpins"	"C"	"Grand Est semi-continental"
"D11"	"Massif vosgien central"	"D"	"Vosges"
"D12"	"Collines périvosgiennes et Warndt"	"D"	"Vosges"
"E10"	"Premier plateau du Jura"	"E"	"Jura"
"E20"	"Deuxième plateau et Haut-Jura"	"E"	"Jura"
"F11"	"Terres rouges"	"F"	"Sud Ouest océanique"
"F12"	"Groies"	"F"	"Sud Ouest océanique"
"F13"	"Marais littoraux"	"F"	"Sud Ouest océanique"
"F14"	"Champagne charentaise"	"F"	"Sud Ouest océanique"
"F15"	"Périgord"	"F"	"Sud Ouest océanique"
"F21"	"Landes de Gascogne"	"F"	"Sud Ouest océanique"
"F22"	"Dunes atlantiques"	"F"	"Sud Ouest océanique"
"F23"	"Bazadais, Double et Landais"	"F"	"Sud Ouest océanique"
"F30"	"Coteaux de la Garonne"	"F"	"Sud Ouest océanique"
"F40"	"Causses du Sud-Ouest"	"F"	"Sud Ouest océanique"
"F51"	"Adour atlantique"	"F"	"Sud Ouest océanique"
"F52"	"Collines de l'Adour"	"F"	"Sud Ouest océanique"
"G11"	"Châtaigneraie du Centre et de l'Ouest"	"G"	"Massif central"
"G12"	"Marches du Massif central"	"G"	"Massif central"
"G13"	"Plateaux limousins"	"G"	"Massif central"
"G21"	"Plateaux granitiques ouest du Massif central"	"G"	"Massif central"
"G22"	"Plateaux granitiques du centre du Massif central"	"G"	"Massif central"
"G23"	"Morvan et Autunois"	"G"	"Massif central"
"G30"	"Massif central volcanique"	"G"	"Massif central"
"G41"	"Bordure Nord-Est du Massif central"	"G"	"Massif central"
"G42"	"Monts du Vivarais et du Pilat"	"G"	"Massif central"
"G50"	"Ségala et Châtaigneraie auvergnate"	"G"	"Massif central"
"G60"	"Grands Causses"	"G"	"Massif central"
"G70"	"Cévennes"	"G"	"Massif central"
"G80"	"Haut-Languedoc et Lévézou"	"G"	"Massif central"
"G90"	"Plaines alluviales et piémonts du Massif central"	"G"	"Massif central"
"H10"	"Préalpes du Nord"	"H"	"Alpes"
"H21"	"Alpes externes du Nord"	"H"	"Alpes"
"H22"	"Alpes internes du Nord"	"H"	"Alpes"
"H30"	"Alpes externes du Sud"	"H"	"Alpes"
"H41"	"Alpes intermédiaires du Sud"	"H"	"Alpes"
"H42"	"Alpes internes du Sud"	"H"	"Alpes"
"I11"	"Marches pyrénéennes"	"I"	"Pyrénées"
"I12"	"Pyrénées cathares"	"I"	"Pyrénées"
"I13"	"Corbières"	"I"	"Pyrénées"
"I21"	"Haute-chaîne pyrénéenne"	"I"	"Pyrénées"
"I22"	"Pyrénées catalanes"	"I"	"Pyrénées"
"J10"	"Garrigues"	"J"	"Méditerranée"
"J21"	"Roussillon"	"J"	"Méditerranée"
"J22"	"Plaines et collines rhodaniennes et languedociennes"	"J"	"Méditerranée"
"J23"	"Provence calcaire"	"J"	"Méditerranée"
"J24"	"Secteurs nièois et préligure"	"J"	"Méditerranée"
